CENTRE AVE AT MELWOOD AVE,40.453469, -79.955240, oakland
WILKINS AVE AT FAIR OAKS ST,40.441347, -79.934984, squill
BLVD OF ALLIES AT DAWSON ST,40.439379, -79.962131, oakland
MURRAY AVE AT WILKINS AVE,40.436644, -79.932452, squill
ARLINGTON AVE AT E CARSON ST,40.434499, -80.002550, downtown
TILBURY AVE OPP WALDRON ST FS,40.428579, -79.922383, squill
BENTLEY DR AT BURROWS ST,40.436666, -79.975584, oakland
CENTRE AVE AT CIVIC ARENA EAST LOT,40.444420, -79.995385, strip
FIFTH AVE AT COLLEGE ST,40.441347, -79.934984, squill
GATEWAY STATION,40.437330, -80.007558, downtown
BLACK ST AT AIKEN AVE,40.468905, -79.932637, east_liberty
CRAIG ST AT CENTRE AVE,40.453469, -79.955240, oakland
GATEWAY STATION,40.437330, -80.007558, downtown
NEGLEY AVE AT STANTON AVE,40.468905, -79.932637, east_liberty
MILLVALE AVE AT BAUM BLVD,40.453469, -79.955240, oakland
NEGLEY AVE AT CLAYBOURNE ST,40.449981, -79.937537, shadyside
PENN AVE AT 27TH ST,40.452255, -79.981337, strip
STANTON AVE AT CHISLETT ST,40.468905, -79.932637, east_liberty
FIFTH AVE AT MCKEE PL FS,40.436544, -79.966343, oakland
BENTLEY DR AT OAK HILL DR,40.436666, -79.975584, oakland
ELLSWORTH AVE AT MOREWOOD AVE,40.447303, -79.948996, shadyside
STANTON AVE AT #5013,40.468905, -79.932637, east_liberty
LIBERTY AVE OPP 14TH ST,40.444420, -79.995385, strip
MILLVALE AVE AT CENTRE AVE,40.453469, -79.955240, oakland
MILLVALE AVE AT MOREWOOD AVE,40.453469, -79.955240, oakland
FORBES AVE AT BEECHWOOD BLVD,40.437493, -79.921552, squill 
CRAIG ST OPP BIGELOW BLVD,40.453469, -79.955240, oakland
GRANT ST AT LIBERTY AVE FS (FED BLDG),40.444420, -79.995385, strip
BEACON ST AT MURDOCH ST FS,40.429166, -79.935796, squill
STEEL PLAZA STATION,40.444420, -79.995385, strip
CENTRE AVE OPP MORGAN ST,40.439911, -79.967237, oakland
SECOND AVE OPP BATES ST FS,40.436544, -79.966343, oakland
CENTRE AVE AT DITHRIDGE ST,40.453469, -79.955240, oakland
NEGLEY AVE OPP RIPPEY ST FS,40.468905, -79.932637, east_liberty
BRYANT ST AT ST CLAIR ST,40.466521, -79.927854, east_liberty
ELLSWORTH AVE AT SUMMERLEA ST,40.449981, -79.937537, shadyside
STANTON AVE AT HIGHLAND AVE,40.466521, -79.927854, east_liberty
GRANT ST AT SIXTH AVE,40.444420, -79.995385, strip
MURRAY AVE AT FORBES AVE FS,40.436644, -79.932452, squill
EAST BUSWAY AT PENN STATION B,40.444420, -79.995385, strip
PANTHER HOLLOW RD OPP SCHENLEY PARK POOL,40.437915, -79.954317, oakland
WILKINS AVE AT BEECHWOOD BLVD,40.437493, -79.921552, squill 
NEGLEY AVE AT EAST LIBERTY BLVD,40.468905, -79.932637, east_liberty
BLVD OF ALLIES AT BATES ST,40.439379, -79.962131, oakland
FIFTH AVE OPP #2358,40.436666, -79.975584, oakland
NEGLEY AVE OPP WELLESLEY AVE,40.468905, -79.932637, east_liberty
DARRAGH ST OPP VICTORIA ST,40.436544, -79.966343, oakland
LIBERTY AVE AT EDMOND ST,40.453469, -79.955240, oakland
FOURTH AVE AT WOOD ST,40.437330, -80.007558, downtown
CRAWFORD ST OPP WEBSTER AVE,40.444420, -79.995385, strip
LIBERTY AVE AT ELLA ST,40.453469, -79.955240, oakland
PENN AVE AT WHITFIELD ST,40.466521, -79.927854, east_liberty
ELLSWORTH AVE AT SPAHR ST,40.449981, -79.937537, shadyside
NEGLEY AVE AT EAST LIBERTY BLVD,40.468905, -79.932637, east_liberty
BAUM BLVD AT MILLVALE AVE,40.453469, -79.955240, oakland
BLVD OF ALLIES AT POST GAZETTE BLDG,40.437330, -80.007558, downtown
SIXTH AVE AT CENTRE AVE,40.444420, -79.995385, strip
STANTON AVE AT MELLON ST,40.468905, -79.932637, east_liberty
BIGELOW BLVD AT BLOOMFIELD BRDGE FS,40.453469, -79.955240, oakland
FORBES AVE AT SENECA ST,40.436666, -79.975584, oakland
TERRACE ST AT WHITRIDGE ST,40.436666, -79.975584, oakland
REED ST AT ADDISON ST,40.436666, -79.975584, oakland
7TH ST AT PENN AVE FS,40.437330, -80.007558, downtown
ELLA ST AT LIBERTY AVE,40.453469, -79.955240, oakland
LIBERTY AVE AT 6TH ST,40.437330, -80.007558, downtown
BLVD OF ALLIES OPP HALKET ST,40.436544, -79.966343, oakland
CENTRE AVE OPP LEMIEUX PL,40.444420, -79.995385, strip
BEDFORD AVE OPP ERIN ST,40.447895, -79.988696, strip 
FIFTH AVE OPP GIST ST,40.436666, -79.975584, oakland
LINCOLN AVE AT FRANKSTOWN AVE,40.465392, -79.921893, east_liberty
FRANKSTOWN AVE AT LINCOLN AVE,40.465392, -79.921893, east_liberty
FIFTH AVE AT MOULTRIE ST,40.436666, -79.975584, oakland
LIBERTY AVE AT 27TH ST,40.452255, -79.981337, strip
CENTRE AVE AT CYPRESS ST,40.447303, -79.948996, shadyside
MILLVALE AVE AT MITRE WAY,40.453469, -79.955240, oakland
FORBES AVE AT MOREWOOD AVE FS (CARNEGIE MELLON),40.440204, -79.946993, squill
HIGHLAND AVE AT JACKSON ST,40.466521, -79.927854, east_liberty
FORBES AVE AT DITHRIDGE ST,40.437016, -79.959789, oakland
CENTRE AVE OPP BRYN MAWR RD,40.439911, -79.967237, oakland
BLVD OF ALLIES AT DAWSON ST FS,40.439379, -79.962131, oakland
FIFTH AVE OPP TENNYSON AVE,40.439379, -79.962131, oakland
BEATTY ST AT CENTRE AVE,40.449981, -79.937537, shadyside
MILLVALE AVE AT CYPRESS ST,40.453469, -79.955240, oakland
MILLVALE AVE AT CENTRE AVE FS,40.453469, -79.955240, oakland
BEECHWOOD BLVD AT PARKWAY ENTRANCE,40.429166, -79.935796, squill
FIFTH AVE OPP COLLEGE ST,40.441347, -79.934984, squill
JANCEY ST AT WELLESLEY AVE,40.468905, -79.932637, east_liberty
LIBERTY AVE OPP SMITHFIELD ST,40.444420, -79.995385, strip
CHESTNUT ST AT PROGRESS ST,40.444420, -79.995385, strip
FORBES AVE AT MOULTRIE ST,40.436666, -79.975584, oakland
PENN AVE AT 7TH ST,40.437330, -80.007558, downtown
LIBERTY AVE OPP 9TH ST,40.437330, -80.007558, downtown
NEGLEY AVE AT FRIENDSHIP AVE,40.462219, -79.930116, east_liberty
CRAIG ST AT PARK PLAZA,40.437915, -79.954317, oakland
LIBERTY AVE AT 28TH ST,40.452255, -79.981337, strip
BRERETON ST AT 28TH ST,40.452255, -79.981337, strip
STANTON AVE AT #5012,40.468905, -79.932637, east_liberty
STANTON AVE AT CHISLETT ST,40.468905, -79.932637, east_liberty
SHADY AVE OPP HOBART ST,40.428579, -79.922383, squill
PENN AVE OPP EAST LIBERTY BLVD FS,40.452822, -79.925993, shadyside
PENN AVE AT CECIL PL,40.437330, -80.007558, downtown
STANTON AVE AT MELLON ST,40.468905, -79.932637, east_liberty
SIXTH AVE AT BIGELOW BLVD,40.444420, -79.995385, strip
WHITFIELD ST AT BAUM BLVD,40.462219, -79.930116, east_liberty
EAST LIBERTY BLVD AT HAMILTON AVE,40.465392, -79.921893, east_liberty
WILKINS AVE AT MURRAY AVE,40.436644, -79.932452, squill
BLVD OF ALLIES AT GIST ST,40.436666, -79.975584, oakland
FIFTH AVE OPP THACKERAY AVE,40.436544, -79.966343, oakland
BAUM BLVD AT CRAIG ST FS,40.453469, -79.955240, oakland
GRANT ST AT MELLON BANK CTR,40.440164, -80.002279, downtown
LIBERTY AVE AT 30TH ST,40.452255, -79.981337, strip
CENTRE AVE OPP FRANCIS ST,40.439911, -79.967237, oakland
WILKINS AVE OPP BELLEROCK ST,40.441347, -79.934984, squill
FORBES AVE AT WIGHTMAN ST,40.436644, -79.932452, squill
BRERETON ST AT 30TH ST,40.457857, -79.977473, strip
WILKINS AVE AT WIGHTMAN ST,40.441347, -79.934984, squill
LIBERTY AVE AT CANOE WAY,40.453469, -79.955240, oakland
FIFTH AVE AT MEYRAN AVE,40.436544, -79.966343, oakland
FRIENDSHIP AVE AT STRATFORD AVE NS,40.462219, -79.930116, east_liberty
CAMP ST AT BRYN MAWR RD,40.453469, -79.955240, oakland
FRIENDSHIP AVE AT EDMOND ST,40.453469, -79.955240, oakland
NEGLEY AVE AT HAMPTON ST,40.468905, -79.932637, east_liberty
SHADY AVE OPP HOBART ST,40.428579, -79.922383, squill
FORBES AVE OPP MOREWOOD AVE (CARNEGIE MELLON),40.440204, -79.946993, squill
FIFTH AVE OPP BRENHAM ST,40.436666, -79.975584, oakland
HIGHLAND AVE AT HAYS ST,40.466521, -79.927854, east_liberty
BAUM BLVD AT MILLVALE AVE,40.453469, -79.955240, oakland
BAUM BLVD AT CYPRESS ST FS,40.447303, -79.948996, shadyside
ROBINSON ST OPP ELLERS ST,40.436486, -79.971893, oakland
FIFTH AVE OPP CRAFT AVE (CARLOW UNIV),40.436486, -79.971893, oakland
ELLSWORTH AVE AT CATHEDRAL MANSIONS,40.447303, -79.948996, shadyside
FRIENDSHIP AVE AT FAIRMOUNT ST FS,40.458365, -79.932166, east_liberty
FORBES AVE AT MURRAY AVE,40.436644, -79.932452, squill
ELLA ST AT LIBERTY AVE,40.453469, -79.955240, oakland
MILLVALE AVE AT YEW ST,40.453469, -79.955240, oakland
BEACON ST AT MUNHALL RD,40.436644, -79.932452, squill
ALLEQUIPPA ST AT WHITRIDGE ST,40.436666, -79.975584, oakland
MURRAY AVE AT NORTHUMBERLAND ST,40.436644, -79.932452, squill
BRYN MAWR RD AT ANDOVER TERR,40.453469, -79.955240, oakland
LIBERTY AVE AT SMITHFIELD ST,40.444420, -79.995385, strip
BLACK ST AT AIKEN AVE,40.468905, -79.932637, east_liberty
CENTRE AVE AT WASHINGTON PLAZA,40.444420, -79.995385, strip
MILLVALE AVE AT YEW ST,40.453469, -79.955240, oakland
FIFTH AVE OPP AMBERSON AVE,40.447303, -79.948996, shadyside
WILKINS AVE AT BEECHWOOD BLVD,40.437493, -79.921552, squill 
HIGHLAND AVE AT STANTON AVE,40.466521, -79.927854, east_liberty
STANTON AVE AT MELLON ST,40.468905, -79.932637, east_liberty
HAMILTON AVE AT EAST LIBERTY BLVD,40.465392, -79.921893, east_liberty
FIFTH AVE AT NEGLEY AVE,40.449981, -79.937537, shadyside
7TH ST AT FT DUQUESNE BLVD,40.437330, -80.007558, downtown
MULHATTON ST AT DARLINGTON RD,40.437493, -79.921552, squill 
DEVILLIERS ST AT BEDFORD AVE,40.447895, -79.988696, strip 
PENN AVE OPP BAKERY SQUARE,40.458096, -79.921822, east_liberty
REED ST AT ELMORE ST,40.436666, -79.975584, oakland
PENN AVE AT EAST LIBERTY BLVD,40.452822, -79.925993, shadyside
BRYN MAWR RD OPP ANDOVER TERR,40.453469, -79.955240, oakland
FIFTH AVE AT MOREWOOD AVE,40.447303, -79.948996, shadyside
EAST LIBERTY BLVD AT PENN AVE,40.452822, -79.925993, shadyside
HIGHLAND AVE AT HAMPTON ST,40.466521, -79.927854, east_liberty
LIBERTY AVE AT 17TH ST,40.447895, -79.988696, strip 
FORBES AVE AT BEECHWOOD BLVD,40.437493, -79.921552, squill 
BEELER ST AT BEELERMONT PL,40.441347, -79.934984, squill
PENN AVE AT GARRISON PL NS (#933),40.444420, -79.995385, strip
FORBES AVE AT MEYRAN AVE,40.436544, -79.966343, oakland
LIBERTY AVE AT 16TH ST,40.444420, -79.995385, strip
LIBERTY AVE AT GROSS ST,40.449812, -79.954789, oakland
CRAIG ST AT BAYARD ST,40.453469, -79.955240, oakland
CRAIG ST AT FORBES AVE,40.437915, -79.954317, oakland
CENTRE AVE OPP BRYN MAWR RD,40.439911, -79.967237, oakland
AIKEN AVE AT ROSETTA ST,40.468905, -79.932637, east_liberty
JANCEY ST AT STANTON AVE,40.468905, -79.932637, east_liberty
BRYANT ST AT EUCLID AVE,40.466521, -79.927854, east_liberty
PENN AVE AT 30TH ST,40.452255, -79.981337, strip
BEATTY ST AT PENN AVE NS,40.466521, -79.927854, east_liberty
LIBERTY AVE AT CANOE WAY,40.453469, -79.955240, oakland
SHADY AVE AT BEACON ST,40.437493, -79.921552, squill 
FIFTH AVE AT MOULTRIE ST,40.436666, -79.975584, oakland
WILKINS AVE OPP BARNSDALE ST,40.437493, -79.921552, squill 
NEGLEY AVE AT FRIENDSHIP AVE,40.462219, -79.930116, east_liberty
FIFTH AVE AT PENN AVE FS,40.458096, -79.921822, east_liberty
WILKINS AVE AT WIGHTMAN ST,40.441347, -79.934984, squill
ALLEQUIPPA ST AT WHITRIDGE ST,40.436666, -79.975584, oakland
LIBERTY AVE AT SMITHFIELD ST,40.444420, -79.995385, strip
FORBES AVE AT BEELER ST,40.440204, -79.946993, squill
HAMILTON AVE OPP ENTERPRISE ST,40.458096, -79.921822, east_liberty
FORBES AVE AT WIGHTMAN ST,40.436644, -79.932452, squill
LIBERTY AVE AT FIFTH AVE,40.437330, -80.007558, downtown
LAYOVER EAST LIBERTY TERMINAL (NO STOP),40.458096, -79.921822, east_liberty
LIBERTY AVE AT 11TH ST (GREYHOUND),40.444420, -79.995385, strip
CENTRE AVE AT CRAWFORD ST,40.444420, -79.995385, strip
CRAWFORD ST OPP WEBSTER AVE,40.444420, -79.995385, strip
HIGHLAND AVE AT STANTON AVE,40.466521, -79.927854, east_liberty
BENTLEY DR AT #2118,40.436666, -79.975584, oakland
ADELAIDE ST OPP LYON ST FS,40.453469, -79.955240, oakland
HIGHLAND AVE AT EAST LIBERTY BLVD,40.468905, -79.932637, east_liberty
BEACON ST AT WIGHTMAN ST,40.429166, -79.935796, squill
CENTRE AVE AT REED ST,40.436666, -79.975584, oakland
NEGLEY AVE AT BROAD ST,40.468905, -79.932637, east_liberty
HIGHLAND AVE AT WELLESLEY AVE,40.466521, -79.927854, east_liberty
FRANKSTOWN AVE OPP LINCOLN AVE,40.465392, -79.921893, east_liberty
MILLVALE AVE AT MOREWOOD AVE,40.453469, -79.955240, oakland
DARRAGH ST OPP VICTORIA ST,40.436544, -79.966343, oakland
LIBERTY AVE AT 21ST ST,40.447895, -79.988696, strip 
